Rk	Team	G	Pts/G	TotPts	Comp	Att	Pct	Att/G	Yds	Avg	Yds/G	TD	Int	1st	1st%	Lng	20+	40+	Sck	Rate
1	Indianapolis Colts	 2	33.5	 67	 49	 86	 57.0	 43.0	 753	 9.0	 376.5	 6	 7	 36	 41.9	 64T	 12	 4	 4	 76.4
2	Kansas City Chiefs	 1	44	 44	 30	 46	 65.2	 46.0	 363	 8.2	 363.0	 4	 0	 16	 34.8	 79T	 5	 2	 2	 119.7
3	Cincinnati Bengals	 1	10	 10	 29	 51	 56.9	 51.0	 326	 6.5	 326.0	 1	 2	 20	 39.2	 49	 2	 1	 3	 67.0
4	New Orleans Saints	 2	20.5	 41	 44	 73	 60.3	 36.5	 550	 7.7	 275.0	 2	 2	 27	 37.0	 52	 7	 2	 3	 81.9
5	Carolina Panthers	 1	10	 10	 16	 25	 64.0	 25.0	 232	 10.7	 232.0	 1	 2	 9	 36.0	 59	 4	 1	 5	 79.9
6	Denver Broncos	 1	24	 24	 25	 36	 69.4	 36.0	 230	 6.4	 230.0	 2	 1	 11	 30.6	 21	 1	 0	 0	 93.5
7	San Francisco 49ers	 2	23	 46	 31	 60	 51.7	 30.0	 403	 7.1	 201.5	 2	 1	 23	 38.3	 45	 7	 1	 4	 78.7
8	New England Patriots	 1	43	 43	 13	 25	 52.0	 25.0	 185	 7.9	 185.0	 0	 0	 9	 36.0	 53	 3	 1	 2	 78.4
9	Philadelphia Eagles	 1	24	 24	 23	 33	 69.7	 33.0	 176	 5.9	 176.0	 2	 0	 10	 30.3	 40	 3	 1	 2	 105.0
10	San Diego Chargers	 2	22	 44	 30	 43	 69.8	 21.5	 316	 8.0	 158.0	 3	 0	 19	 44.2	 49	 5	 1	 5	 116.9
11	Green Bay Packers	 1	20	 20	 17	 26	 65.4	 26.0	 157	 6.8	 157.0	 1	 0	 8	 30.8	 26	 2	 0	 4	 97.8
12	Seattle Seahawks	 1	23	 23	 9	 18	 50.0	 18.0	 103	 5.7	 103.0	 0	 0	 5	 27.8	 25	 2	 0	 3	 67.6
